0 1 2
253 254 290
278 262 280
282 265 277
291 277 275
256 261 292
248 276 234
282 292 261
274 271 293
233 279 249
277 291 282
286 272 230
260 273 294
238 260 294
263 236 295
266 296 254
288 250 280
289 240 250
236 281 295
264 256 292
249 279 284
289 246 240
247 285 286
282 297 292
298 262 283
298 280 262
296 290 254
270 299 279
300 248 238
287 274 293
301 279 299
275 302 291
269 231 276
269 276 299
299 270 269
289 303 246
273 272 304
238 294 300
301 284 279
282 291 297
288 280 298
289 288 303
304 272 286
305 286 285
283 264 306
284 307 242
287 308 275
293 271 290
298 309 310
273 304 311
296 266 312
312 266 267
313 301 299
285 263 314
285 315 305
267 242 307
316 286 305
316 305 317
302 297 291
302 275 308
281 246 318
287 293 319
301 320 284
315 285 314
298 283 309
292 306 264
288 298 310
303 318 246
304 286 316
287 319 321
293 290 322
313 299 323
276 248 324
306 309 283
267 307 312
303 288 310
276 323 299
318 303 325
308 287 326
287 321 326
311 294 273
301 313 320
315 327 305
328 302 308
263 329 314
290 296 322
324 248 300
309 306 330
302 331 297
305 327 317
293 322 319
306 292 332
292 297 332
304 316 333
316 334 333
335 324 300
336 310 309
336 337 310
324 323 276
338 339 340
314 338 315
314 339 338
296 312 341
328 308 342
294 311 343
308 326 342
300 294 343
335 300 343
317 344 316
327 315 338
344 334 316
284 320 345
318 346 281
325 303 310
333 311 304
343 311 347
348 327 338
348 338 340
327 348 317
332 297 331
330 306 332
307 345 349
309 330 336
339 314 329
331 302 350
295 281 351
323 324 352
263 295 329
329 295 351
350 302 328
343 353 335
354 334 344
355 356 319
333 347 311
347 353 343
345 307 284
326 321 342
281 346 351
357 325 310
357 310 337
348 358 317
313 359 320
356 321 319
319 322 355
317 358 360
328 361 350
348 362 358
332 331 363
340 362 348
340 364 362
342 321 365
328 342 366
367 339 329
352 324 335
312 307 349
322 296 341
366 342 365
368 333 334
345 320 359
355 322 341
313 323 369
363 331 370
330 332 363
323 352 371
339 367 340
346 318 325
317 360 344
365 321 356
361 328 366
368 347 333
353 347 372
353 372 335
359 313 369
341 312 349
373 367 329
365 374 375
358 362 376
358 377 360
350 370 331
378 366 379
366 378 361
361 378 380
380 378 379
366 365 375
377 358 376
336 330 381
369 323 371
382 341 349
352 335 383
356 355 384
334 354 385
351 346 386
387 345 359
370 350 388
388 350 361
355 341 389
341 382 389
361 380 390
385 368 334
377 376 391
340 367 392
360 377 393
364 340 392
325 386 346
347 368 394
361 390 388
387 395 345
381 330 363
383 335 372
385 354 396
372 347 394
397 380 379
359 398 387
364 399 362
392 367 400
380 397 401
344 360 402
384 355 389
374 365 403
379 366 375
373 329 351
357 337 404
337 336 381
354 344 396
349 345 395
390 380 401
365 356 384
400 344 402
396 344 400
376 362 399
387 398 405
406 370 388
