x,y,z,u,v,w
201.9589,200.9575,194.6501,0.1261217701180044,-0.05095095387213178,-0.13022760033834402
201.9589,200.9575,-55.34990000000001,0.20092861384580374,-0.09928616137436563,-0.0284476611940363
-48.0411,200.9575,194.6501,0.02480271433626058,0.042533654218374295,-0.17881483000735443
-48.0411,-49.0425,194.6501,0.000244393626985584,0.12729367431994376,-0.28592057749852984
201.9589,-49.0425,194.6501,0.22343263992189577,0.13719342300403525,-0.20011148413857427
201.9589,-49.0425,-55.34990000000001,0.1275564560417024,0.0043611371155805045,-0.06786195927543304
-48.0411,200.9575,-55.34990000000001,0.18411419193427037,-0.14753984346091897,-0.07156980027946247
-48.0411,-49.0425,-55.34990000000001,0.1502875001935422,-0.024360136228665397,-0.1131468240811273
-28.81033076922511,200.9575,194.6501,0.027177691629447054,0.044673095268947804,-0.17372101640563642
-9.579561538469335,200.9575,194.6501,0.03252086354240191,0.044946464391316,-0.16636994846066955
9.651207692250892,200.9575,194.6501,0.0405985405308229,0.042056234423554884,-0.1573163636354593
28.88197692300935,200.9575,194.6501,0.05045680304266398,0.035014884196868934,-0.14830889547056358
48.11274615378424,200.9575,194.6501,0.06078255110014652,0.02376401558619534,-0.1414361542370557
67.34351538455911,200.9575,194.6501,0.07050700767285889,0.009374319356055594,-0.1377832404698438
86.57428461535068,200.9575,194.6501,0.07924792241885825,-0.0061854782856016755,-0.13697672721104936
105.8050538461255,200.9575,194.6501,0.0873084731958329,-0.020681171081918137,-0.1377173412809043
125.0358230769004,200.9575,194.6501,0.09524825053858876,-0.03250199845038537,-0.13853940761811145
144.2665923076754,200.9575,194.6501,0.10339350040857198,-0.04107723299509303,-0.13835439470085475
163.4973615384502,200.9575,194.6501,0.11159342001371897,-0.04661577572178999,-0.1367227584589159
182.7281307692251,200.9575,194.6501,0.11933855168888385,-0.049690980591876155,-0.1338316711776315
-48.0411,200.9575,175.4193307692321,0.022716917971479234,0.036924477981088444,-0.17966710701631428
-48.0411,200.9575,156.1885615384641,0.023957251268541313,0.026930250767335906,-0.17933160633066336
-48.0411,200.9575,136.9577923076962,0.029595430108940946,0.011294040989824339,-0.17513957257028778
-48.0411,200.9575,117.7270230769282,0.039959297517555115,-0.010184480894778858,-0.16564928029134762
-48.0411,200.9575,98.49625384616027,0.05396367604129182,-0.035909373557643676,-0.15323822784455388
-48.0411,200.9575,79.26548461539232,0.0695610627080896,-0.06239899607558641,-0.1421266093653344
-48.0411,200.9575,60.03471538460772,0.08462934323898708,-0.08534353517519833,-0.13379700122834493
-48.0411,200.9575,40.80394615383977,0.09848449165997408,-0.1021142635247827,-0.12580033333847496
-48.0411,200.9575,21.5731769230718,0.11289308906964379,-0.11360890998824402,-0.11551607964116783
-48.0411,200.9575,2.342407692303851,0.13018575963053536,-0.12304028478286,-0.10319454143660778
-48.0411,200.9575,-16.8883615384641,0.14998729317136394,-0.13255736750902258,-0.0907486304770373
-48.0411,200.9575,-36.11913076923202,0.169022810337367,-0.14142273207855283,-0.07987693786822092
-28.81033076922511,200.9575,-55.34990000000001,0.18797902043900194,-0.1589151864758236,-0.06193124225887914
-9.579561538469335,200.9575,-55.34990000000001,0.1898665470831702,-0.16726263932929442,-0.0521371661267267
9.651207692250892,200.9575,-55.34990000000001,0.19008428549585688,-0.17073326664846888,-0.04254150322293526
28.88197692300935,200.9575,-55.34990000000001,0.18973923816338356,-0.1677367365000606,-0.0335742509110446
48.11274615378424,200.9575,-55.34990000000001,0.19054105704753965,-0.1578598130980282,-0.025846139850898453
